date,region,channel,category,orders,revenue
2026-01-13,North,Web,Electronics,120,14400
2026-01-13,North,Web,Pharmacy,90,7200
2026-01-13,North,Store,Electronics,85,10200
2026-01-13,North,Store,Pharmacy,70,5600
2026-01-13,South,Web,Electronics,110,13200
2026-01-13,South,Web,Pharmacy,100,8000
2026-01-13,South,Store,Electronics,95,11400
2026-01-13,South,Store,Pharmacy,80,6400
2026-01-14,North,Web,Electronics,121,14520
2026-01-14,North,Web,Pharmacy,88,3960
2026-01-14,North,Store,Electronics,87,10440
2026-01-14,North,Store,Pharmacy,68,3060
2026-01-14,South,Web,Electronics,112,13440
2026-01-14,South,Web,Pharmacy,96,4320
2026-01-14,South,Store,Electronics,96,11520
2026-01-14,South,Store,Pharmacy,79,3555

